sentiment,location,retweet,score,hashtags,message,date,followers,likes,engagement_score,author,organization,sector,sub-sector
negative,usa,0,-0.1027,None,RT CalFreedomMom Nah broBook based on sources and not facts is not in my lineup for reading,2021-04-28T16:52:08+00:00,1975,0,1975,PinkwvPink,Others,Others,Others
positive,United States,0,0.4939,Coupon,24 piece Glass Food Storage Containers 30coupon PLUS Save 15 with PromoCode 15QD17IU Deal,2021-04-28T16:52:09+00:00,4929,0,4929,CoolDealCA,Others,Others,Others
positive,"Philadelphia, PA",0,0.7506,None,RT DougJCooper Can he save her Can they save themselvesBUMP TIME ORIGINTimetravel Suspense by the author of Crystal DeceptionAmazon,2021-04-28T16:52:09+00:00,9763,0,9763,JohnApp63499667,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
negative,"Seoul, Republic of Korea",0,-0.6705,None,RT UPI Tesla rejects environmental accusations from US EPA German regulators,2021-04-28T16:52:09+00:00,762,0,762,Guisun_Han,Tesla Inc,Consumer Discretionary Sector Performance,Auto & Truck Manufacturers
positive,%uD83D%uDCCDsomewhere being tried,0,0.7584,None,And now i dont even shop at forever 21 hardly thanks to target Amazon and pretty little thing,2021-04-28T16:52:09+00:00,1470,0,1470,muva0G_,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,"London, England",0,0.875,None,RT petepaphides Stuff you could do if you were the two richest men on the planet1 Save the Amazon rainforest2 Build clean water we,2021-04-28T16:52:09+00:00,233,0,233,GoodsofficeN4,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,Myanmar,0,0.3182,Whatshappeninginmyanmar,Please sign the petition WhatsHappeningInMyanmar Apr28Coup,2021-04-28T16:52:11+00:00,150,0,150,ririlwin,Others,Others,Others
negative,Tesla station on Mars,0,-0.4084,None,RT Alpsoy66 So all the Tesla FUD this week Germany China US sponsored lobby organizations media outlets Result Nothing Just hot a,2021-04-28T16:52:11+00:00,67,0,67,TSLA__bot,Tesla Inc,Consumer Discretionary Sector Performance,Auto & Truck Manufacturers
negative,"Tyler, TX",0,-0.3612,None,I stand corrected may mga mas mahal pa pala depende sa place wtf I have a cousin who collects these lol I told her na bili na lang sya sa Amazon She said no it has to be bought sa store mismo para legit Too much effort,2021-04-28T16:52:12+00:00,150,0,150,ninadesales,Others,Others,Others
negative,,0,-0.6486,None,RT organisehq 1 Right now after months of pressure AmazonUK CEO John Boumphrey is being grilled by MPs over dangerous delivery targe,2021-04-28T16:52:04+00:00,602,0,602,charliekaliroy,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,"London, England",0,0.1779,None,RT SJosephBurns Here are a few pages from The Ultimate Price Action Trading Guidewith 136 Amazon reviews 44 out of 5 st,2021-04-28T16:52:04+00:00,41,0,41,disciplinify,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
negative,"Columbus, OH",0,-0.7506,None,elonmusk Ya know what Youre a freaking screwball sometimes you really are So while you pump and dump crypto Lorne Michaels wants you to entertain us with what exactly Your Tesla cars space rockets solar panel roofs fake cryptocurrency lets see what its all about nbcsnl,2021-04-28T16:52:04+00:00,333,0,333,dajennison,Others,Others,Others
positive,"Camarillo, CA",0,0.1779,None,Read Dr Michael Dominic Taylors review of Wolfgang Smiths new book The Vertical AscentOrder the book Paperback and Kindle editions also available from Amazon,2021-04-28T16:52:10+00:00,289,0,289,PS_Initiative,Others,Others,Others
positive,,0,0.6486,None,Order from my wishlist and thank me for the opportunity to serveFinD findom finsub paypig cashslave cashcow humanatm walletslave cashmaster,2021-04-28T16:52:11+00:00,72,0,72,mistressruby233,Others,Others,Others
negative,,0,-0.5719,None,RT juliaioffe I wrote a book about how big tech is evil Buy it now on Amazon he wrote on Twitter for iPhone,2021-04-28T16:52:11+00:00,43,0,43,TraceyAtwell2,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,Ohio,0,0.6705,Win,Win 50 Amazon BookTour Giveaway BookBoost Satirical Literary Fiction NoBirdsSingHere AuthorMeier,2021-04-28T16:52:12+00:00,1390,0,1390,tatertot374,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
negative,CA %uD83D%uDCCD,0,-0.7258,None,RT imangelcardenas Theres something absolutely wrong with influencers having an Amazon wishlist link amp theres something even more wrong,2021-04-28T16:52:13+00:00,26,0,26,tayaldape,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,Snake Pit,0,0.1779,None,RT GiannaDiorXXX its almost my birthday spoil me with my Amazon wishlist or DM for my address https,2021-04-28T16:52:13+00:00,1,0,1,mambagram,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,Earth-that-was,0,0.9661,None,Ive been gifted an Amazon gift card for my birthday and while I know its not the preferred method Id love to support some knitting peeps especially since Im offRavWhat are some great knitting books or notions that you love that I can get from Amazon,2021-04-28T16:52:09+00:00,55,0,55,kayleeknits,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,,0,0.1779,None,Look me up from amazon 1307,2021-04-28T16:52:10+00:00,245,0,245,ArtOfWoods2,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,,0,0.5267,None,RT MSNBC More than 400 companies including Tesla Pfizer Delta Air Lines and Amazon have signed on to support civil rights legislati,2021-04-28T16:52:06+00:00,582,0,582,JamieON94964661,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,,0,0.1779,None,Reminder Im currently working on Book Five Of Claws and Inferno so if youre not caught up on my scifi dragon hunting series git on it dragons fantasy diversereads scifi series Kindle Amazon Smashwords,2021-04-28T16:52:06+00:00,822,0,822,misskyokom,Others,Others,Others
positive,Missouri/ statewide,0,0.9712,None,Enter Horace Manns Teacher Appreciation Week Sweepstakes before 57 for a chance to win 1 of 5 prize packages each containing a beautiful bouquet of flowers each month for 3 months a 150 Amazon gift card and a 200 gift card to Lowes or Home Depot,2021-04-28T16:52:05+00:00,2332,0,2332,MissouriNEA,Others,Others,Others
negative,"Los Angeles, CA",0,-0.8169,Withoutremorse,RT ADuralde My review of WithoutRemorse for TheWrap Without Remorse Film Review Michael B Jordan Battles Grief and Bad Guys in G,2021-04-28T16:52:06+00:00,245387,0,245387,TheWrap,Others,Others,Others
positive,"Colorado, USA",0,0.8402,Reviews,RT SanzaAlice RaelleLogan1 Thanks reviews and synopsis available at The brightest light creates the darke,2021-04-28T18:02:42+00:00,19918,0,19918,RaelleLogan1,Others,Others,Others
positive,Atlanta,0,0.1779,Amazon4Doge,RT Danology4 Just got an email from amazon customer service Amazon4DogeNotice the word YET,2021-04-28T18:02:42+00:00,67,0,67,KasinoJones,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,,0,0.9664,None,MarianKeyes Have you seen Dark Its German only three series long with a proper ending and it is quite literally the BEST TV programme weve watched in years Available with or without subtitles on Amazon Its glorious mindfuk of the very best kind You can thank me later xxx,2021-04-28T18:02:42+00:00,2060,0,2060,fifibaggins,Others,Others,Others
positive,,0,0.5717,Tesla,RT BLKMDL3 Instant acceleration in a Tesla is not only fun and exhilarating but also can be used as a safety feature Tesla ModelX ht,2021-04-28T18:02:42+00:00,25,0,25,SadeepaThilan,Tesla Inc,Consumer Discretionary Sector Performance,Auto & Truck Manufacturers
positive,"Southern California, USA",0,0.3818,None,RT ProudSocialist The 6 members of Congress including AOC deserve credit for pushing the DOJ on this For those who dont know SDonziger,2021-04-28T18:02:42+00:00,873,0,873,Dottcha,Others,Others,Others
positive,,0,0.2263,Myanmar,RT JusticeMyanmar Oil amp gas biz incl chevron bankroll the Myanmar militarys atrocities amp allow them to cont to act w total impunity,2021-04-28T18:02:43+00:00,44,0,44,jessi6300448,Chevron Corp,Energy,Oil & Gas Integrated Operations
negative,,0,-0.0772,None,RT jeffbezosnews the amazon employee vaccination program has been cancelled because jeff took all the doses himself he is glowing and fl,2021-04-28T16:52:25+00:00,70,0,70,dizzie_iz,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,"From Nottingham, in London",0,0.7351,Hollysmankymoggies,You can help me keep making happy endings for sad floofs by donating to HollysMankyMoggies Heres howOneoff Monthly Wishlist Anything else hollyhollybrockwellcomLikes amp comments are good too,2021-04-28T16:52:25+00:00,124090,0,124090,holly,Others,Others,Others
positive,,0,0.6697,None,RT WomenReadWomen Gender ideology is not a grassroots movement It is extremely profitable for many industries and is supported by enorm,2021-04-28T16:52:25+00:00,463,0,463,nenanenita,Others,Others,Others
positive,Ireland.,0,0.873,None,RT ladygaga Kiss harder and SMARTER with PhD HYBRID LIP OIL STAIN OUT NOW on hauslabs and Amazon 5 hydrating tints packed with calming,2021-04-28T16:52:25+00:00,895,0,895,ROBERTMARTIN220,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,That way,0,0.5267,None,Pro tips tho Turn off your Alexa when not using it to minimalize recordings Never say your phone number address bank details or anything else that Amazon can sell to limit what they have on you Never connect Alexa to house security or protection,2021-04-28T16:52:26+00:00,805,0,805,UKangaru,Others,Others,Others
positive,"Spokane, WA",0,0.5994,None,Super squee The first book of the Shadow of the Scrolls spinoff series of the Techromancy Scrolls is now available on audiobook Giva a listen to this YANA lesfic EpicFantasy today My pet platypus Frank gives it two flippers up,2021-04-28T18:02:40+00:00,4520,0,4520,erikschubach,Others,Others,Others
negative,"Killeen, Texas",0,-0.5994,New,RT alexiwriter She is my everything my reason to live and if fate wants it my reason to die BJARNI a lethal heartclenching new,2021-04-28T18:02:40+00:00,1878,0,1878,LatifaMorrisett,Others,Others,Others
positive,"Eastbourne, UK",0,0.7178,None,RT SebKirby I really liked the main character James Blake and his fearless pursuit of the truthUS UK,2021-04-28T18:02:40+00:00,20510,0,20510,fredsdiary1981,Others,Others,Others
positive,"Lymm, Cheshire, UK",0,0.1779,None,Just a few more days left to snap up a Kindle monthly deal on Gallows Court 99p on Amazon UK HoZBooks agentandagent TheCWA CrimeReaders,2021-04-28T16:52:26+00:00,7900,0,7900,medwardsbooks,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,North Carolina,0,0.3818,None,RT SaveWomensSport BREAKING NEWS North Carolina bill to protect female sports dies the same day Apple announced its new facility in Rale,2021-04-28T16:52:26+00:00,1170,0,1170,DragonsDie1230,Others,Others,Others
positive,Parts Unknown,0,0.7096,None,If youre looking to try Love and Rockets Maggie the Mechanic is only 1219 on Amazon,2021-04-28T16:52:27+00:00,1623,0,1623,DanSchwent,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,,0,0.0772,None,RT HawleyMO The lefty meltdown on this monopoly platform every time I post about my book that they tried to cancel is all the endorsement,2021-04-28T16:52:27+00:00,759,0,759,YvetteG24707719,Others,Others,Others
positive,Star City of The South,0,0.3612,Swva,SWVA GETTING BIG INVESTMENT IN JOBS AND REVENUE Thank you Senator ToddPillionVA and delegation for your work,2021-04-28T16:52:27+00:00,1455,0,1455,MattColtHall,Others,Others,Others
negative,USA,0,-0.4939,None,RT DesignationSix Tucker Carlson wants people to call child protective services to harass adults amp their kids for wearing masks Here are,2021-04-28T16:52:28+00:00,9597,0,9597,FDRrocks,Others,Others,Others
positive,,0,0.4404,None,RT GlobalBlackPink HELLO BLINKS Keep streaming the album to improve the Streams for longevity VOTE FOR BLACKPINK too THE ALB,2021-04-28T16:52:24+00:00,20,0,20,Sebastian_lyRJL,Others,Others,Others
positive,"Louisiana, USA",0,0.1779,None,jydope already in my Amazon cart,2021-04-28T16:52:25+00:00,422,0,422,thisbonez,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,,0,0.7506,None,RT DougJCooper Can he save her Can they save themselvesBUMP TIME ORIGINTimetravel Suspense by the author of Crystal DeceptionAmazon,2021-04-28T16:52:25+00:00,14749,0,14749,Dab10ten,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,Global,0,0.3626,None,Maxell Micro Lithium Cell Cr 1616 Our prices are very low at only 049 Save Money by Shopping at Shop The Globe smallbusinesses esty shoptheglobe ebay amazon,2021-04-28T16:52:29+00:00,94,0,94,WholesaleB2BMa1,Others,Others,Others
positive,Dystopia,0,0.7346,None,RT cwhawes Highly recommended for mystery lovers and anyone looking for an escape with a light touchFrom a Goodreads reviewTri,2021-04-28T16:52:30+00:00,5129,0,5129,AlexanderZPain,Others,Others,Others
positive,,0,0.8519,Biographies,A great love story Mustread book LindaGanzini Biographies Memoirs,2021-04-28T18:02:42+00:00,1604,0,1604,BookClu20657191,Others,Others,Others
negative,United Kingdom,0,-0.0986,None,RT sksheridan So excited my new crime fiction book with Bloodhoundbook The Disciple is available to preorder And already some fa,2021-04-28T18:02:44+00:00,2311,0,2311,plasticspalls,Others,Others,Others
positive,,0,0.3818,None,RT switchitupkayla payment methodsi prefer i accept egiftcard dm for email,2021-04-28T18:02:44+00:00,4795,0,4795,rt_pawn,Others,Others,Others
positive,"Nowon-gu, Seoul",0,0.7906,None,Just saw this on Amazon CGOLDENWALL Safety Light Curtains safety protection sensor light screenamp beams 10 ampSensing height 430mm with controller by CGOLDENWALL for 15900 culceo amazon,2021-04-28T18:02:44+00:00,92,0,92,johntristan72,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,"Earth 2 - Bernie is President ",0,0.3818,None,RT ProudSocialist The 6 members of Congress including AOC deserve credit for pushing the DOJ on this For those who dont know SDonziger,2021-04-28T18:02:44+00:00,8269,0,8269,march4progress,Others,Others,Others
negative,she/her,0,-0.5714,None,i bought something off amazon with no reviews and im really scared its gonna be a scam but gotta live life on the edge yknow,2021-04-28T18:02:45+00:00,73,0,73,paytonification,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,,0,0.1779,None,AlgodTrading Set yourself up on a recurring buy from Amazon and never wash socks again,2021-04-28T18:02:45+00:00,59,0,59,CryptopiaHODL,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
negative,"California, USA",0,-0.5719,None,RT juliaioffe I wrote a book about how big tech is evil Buy it now on Amazon he wrote on Twitter for iPhone,2021-04-28T18:02:45+00:00,1642,0,1642,lulu82824,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,"Livermore, California",0,0.4404,None,Quick and easy Mason Bee tubes,2021-04-28T18:02:48+00:00,247,0,247,packetlevel,Others,Others,Others
negative,,0,-0.2731,None,amazon prime decided not to send an email reminding me to cancel it after a free trial and it suddenly charged me for a year of it i was able to cancel it luckily and just pay for a month instead but what the FUCK lol,2021-04-28T18:02:48+00:00,55,0,55,h0neybloom,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,"Seattle, Washington",0,0.8316,None,RT TweetAtAKK Thank you again AmazonScience awscloud for the gift and congrats to all the recipients I see 3 from just ucsdcse and 1,2021-04-28T18:02:49+00:00,70359,0,70359,AmazonScience,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,gay,0,0.4815,None,VineyardNFT look man the way you respond to anyone who mentions NFTs and your responses make you seem more like an industry plant than anything elsethe NFT in your doesnt help with that eitheris this like an amazon situation where they make accounts to promote a similarly bad thing,2021-04-28T18:02:49+00:00,85,0,85,Frisky_Bits,Others,Others,Others
positive,"tattooed heart ",0,0.1779,Buysaveyourtearsremix,RT gainsarianafans BuySaveYourTearsRemixRETWEET TO SPREADiTunes Amazon https,2021-04-28T18:02:49+00:00,74,0,74,myhairwbk,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
positive,"Productivity Tzar ",0,0.1779,None,RT AASchapiro For almost a year chrissiemurray amp I have been investigating Amazon in MexicoWe found a shadow workforce of subcontr,2021-04-28T18:02:49+00:00,18881,0,18881,AASchapiro,Amazon Com Inc,Retail,"Internet, Mail Order & Online Shops"
